id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
8.97256E+17,Rental unit in Portland · Studio · 1 bath,500247539,Jeff,,Northwest District,45.52765,-122.69893,Entire home/apt,69,30,0,,,6,270,0,
8.22722E+17,Rental unit in Portland · 1 bedroom · 1 bed · 1 bath,500247539,Jeff,,Northwest District,45.52754294,-122.6987692,Entire home/apt,69,30,2,9/30/2023,0.31,6,269,2,
8.54357E+17,Rental unit in Portland · ★4.81 · 2 bedrooms · 2 beds · 1 bath,365881282,Bradley,,Richmond,45.51171145,-122.6221299,Entire home/apt,70,2,26,12/10/2023,3.86,6,309,26,Exempt
8.40062E+17,Rental unit in Portland · ★4.50 · 2 bedrooms · 2 beds · 1 bath,291835749,Bianca,,Hosford-Abernethy,45.49958086,-122.6422596,Entire home/apt,70,2,46,11/21/2023,5.09,6,336,46,Exempt
1.00458E+18,Rental unit in Portland · ★5.0 · 2 bedrooms · 2 beds · 1 bath,291835749,Bianca,,Hosford-Abernethy,45.50034,-122.6424,Entire home/apt,70,1,4,12/17/2023,3.64,6,0,4,Exempt
8.55208E+17,Rental unit in Portland · ★4.60 · 2 bedrooms · 2 beds · 1 bath,365881282,Bradley,,Richmond,45.5116265,-122.6242567,Entire home/apt,70,2,15,12/3/2023,2.25,6,326,15,Exempt
8.39984E+17,Rental unit in Portland · ★4.87 · 3 bedrooms · 3 beds · 1 bath,291835749,Bianca,,Hosford-Abernethy,45.50014946,-122.6438399,Entire home/apt,71,2,52,12/3/2023,5.47,6,0,52,Exempt
7.92355E+17,Tiny home in Portland · ★4.88 · 1 bedroom · 1 bed · 1 bath,421792,Jesse,,Powellhurst-Gilbert,45.48792065,-122.5185548,Entire home/apt,75,1,16,11/19/2023,2.79,6,0,16,20-211594-000-00-HO
9.82946E+17,Rental unit in Portland · ★3.33 · 2 bedrooms · 2 beds · 1 bath,536842819,Luxrental,,Powellhurst-Gilbert,45.50259011,-122.5435175,Entire home/apt,77,1,3,11/23/2023,1.76,6,262,3,City registration pending
26608214,Yurt in Portland · ★4.92 · 1 bedroom · 1 bed · 1 bath,421792,Jesse,,Powellhurst-Gilbert,45.48703,-122.51858,Entire home/apt,77,1,632,12/10/2023,9.55,6,346,110,20-211594-000-00-HO
1.01561E+18,Rental unit in Portland · ★New · 1 bedroom · 1 bed · 1 bath,213350724,"J, S & P",,Sellwood-Moreland Improvement League,45.45896,-122.64648,Entire home/apt,78,30,0,,,6,179,0,
9.12549E+17,Rental unit in Portland · ★New · 2 bedrooms · 2 beds · 1 bath,98202133,Toney,,Northwest District,45.53685,-122.6986,Entire home/apt,78,31,0,,,6,39,0,Exempt
8.2272E+17,Rental unit in Portland · 2 bedrooms · 2 beds · 2 baths,500247539,Jeff,,Northwest District,45.52721559,-122.6967112,Entire home/apt,79,30,1,11/18/2023,0.91,6,337,1,
20035331,Guest suite in Portland · ★4.96 · 1 bedroom · 2 beds · 1 bath,6416589,Adam And Arthur,,Boise,45.55267,-122.67805,Entire home/apt,79,1,656,12/11/2023,8.42,6,0,100,18-107413-000-00-HO
1242968,Guest suite in Portland · ★4.93 · 1 bedroom · 1 bed · 1 bath,6416589,Adam And Arthur,,Boise,45.55398,-122.67583,Entire home/apt,79,1,853,12/10/2023,6.67,6,0,94,14-226769-000-00-HO
8.8764E+17,Home in Portland · ★4.65 · Studio · 1 bed · 1 bath,392859086,Thomas,,Sunnyside,45.51463106,-122.6273732,Entire home/apt,79,27,22,12/3/2023,3.44,6,0,22,Exempt
21013818,Rental unit in Portland · ★4.85 · 1 bedroom · 1 bed · 1 bath,49136460,Sarah,,Buckman,45.52227,-122.64121,Entire home/apt,80,1,274,12/10/2023,3.6,6,138,23,Exempt
29216225,Rental unit in Portland · ★4.94 · 1 bedroom · 1 bed · 1 bath,49136460,Sarah,,Buckman,45.52226,-122.6412,Entire home/apt,83,1,295,12/8/2023,4.67,6,352,69,Exempt
26272298,Rental unit in Portland · ★4.91 · 1 bedroom · 1 bed · 1 bath,49136460,Sarah,,Buckman,45.52225,-122.6434,Entire home/apt,83,1,339,12/7/2023,5.11,6,0,73,Exempt
7.66223E+17,Rental unit in Portland · ★5.0 · 2 bedrooms · 2 beds · 1 bath,30942269,Nancy,,Bridlemile,45.48821,-122.72755,Entire home/apt,83,31,5,12/12/2023,0.55,6,331,5,Exempt
8.73156E+17,Rental unit in Portland · 2 bedrooms · 2 beds · 1 bath,30942269,Nancy,,Bridlemile,45.48836,-122.72814,Entire home/apt,84,31,0,,,6,247,0,Exempt
35612880,Home in Portland · ★4.84 · 2 bedrooms · 2 beds · 1 bath,30942269,Nancy,,Montavilla,45.52573,-122.58465,Entire home/apt,85,30,19,11/24/2023,0.36,6,237,3,
6.78423E+17,Rental unit in Portland · ★5.0 · 2 bedrooms · 2 beds · 1 bath,30942269,Nancy,,Bridlemile,45.4873484,-122.7278616,Entire home/apt,85,31,4,11/28/2023,0.26,6,328,3,
26452292,Rental unit in Portland · ★4.94 · 1 bedroom · 1 bed · 1 bath,49136460,Sarah,,Buckman,45.522148,-122.639351,Entire home/apt,85,1,203,12/9/2023,3.06,6,342,44,Exempt
5604467,Guest suite in Portland · ★4.97 · 1 bedroom · 1 bed · 1 bath,6416589,Adam And Arthur,,Boise,45.55406,-122.67662,Entire home/apt,87,1,951,12/10/2023,8.91,6,0,143,14-226769-000-00-HO
13247486,Guesthouse in Portland · ★4.97 · 1 bedroom · 2 beds · 1 bath,6416589,Adam And Arthur,,Boise,45.55453,-122.6777,Entire home/apt,89,1,947,12/8/2023,10.29,6,250,143,14-226769-000-00-HO
8.22723E+17,Rental unit in Portland · 2 bedrooms · 2 beds · 1 bath,500247539,Jeff,,Northwest District,45.52921189,-122.6966658,Entire home/apt,89,30,1,8/13/2023,0.23,6,209,1,
38918275,Rental unit in Portland · ★4.89 · 1 bedroom · 1 bed · 1 bath,213350724,"J, S & P",,Sellwood-Moreland Improvement League,45.46452,-122.65922,Entire home/apt,89,30,9,11/30/2022,0.2,6,176,0,
20167870,Guesthouse in Portland · ★4.98 · 1 bedroom · 2 beds · 1 bath,6416589,Adam And Arthur,,Boise,45.55462,-122.67702,Entire home/apt,89,1,723,12/8/2023,9.35,6,0,103,18-107413-000-00-HO
7.33315E+17,Rental unit in Portland · 1 bedroom · 2 beds · 1 bath,213350724,"J, S & P",,Sellwood-Moreland Improvement League,45.46001,-122.6486,Entire home/apt,90,30,1,2/4/2023,0.09,6,153,1,
37425670,Guesthouse in Portland · ★4.91 · 1 bedroom · 1 bed · 1 bath,2236909,Shane,,King,45.56165,-122.65676,Entire home/apt,90,31,22,12/3/2023,0.42,6,239,4,
20935576,Rental unit in Portland · ★4.93 · 1 bedroom · 1 bed · 1 bath,49136460,Sarah,,Buckman,45.52227,-122.64121,Entire home/apt,90,1,333,10/23/2023,4.38,6,172,47,Exempt
50093741,Rental unit in Portland · ★5.0 · 1 bedroom · 2 beds · 1 bath,213350724,"J, S & P",,Sellwood-Moreland Improvement League,45.46026,-122.64661,Entire home/apt,91,30,6,11/17/2023,0.21,6,107,2,
9.79125E+17,Rental unit in Portland · ★4.60 · 2 bedrooms · 2 beds · 1 bath,536842819,Luxrental,,Powellhurst-Gilbert,45.5016865,-122.5427199,Entire home/apt,94,1,5,11/25/2023,2.5,6,357,5,City registration pending
17653916,Rental unit in Portland · ★4.36 · 1 bedroom · 1 bed · 1 private bath,1213257,Dayna,,Concordia,45.56368,-122.63536,Private room,95,1,14,11/25/2023,0.17,6,232,8,22-137836-000-00-HO
6.78235E+17,Guest suite in Portland · ★4.84 · 2 bedrooms · 1 bed · 2 baths,52609760,Becky,,Overlook,45.56448,-122.68202,Private room,96,1,45,12/7/2023,2.73,6,361,39,18-244211-000-00-HO
9.24557E+17,Rental unit in Portland · ★4.83 · 2 bedrooms · 2 beds · 1 bath,365881282,Bradley,,Richmond,45.50559314,-122.6219563,Entire home/apt,97,1,23,12/17/2023,4.06,6,335,23,Exempt
7729130,Guesthouse in Portland · ★4.93 · 1 bedroom · 1 bed · 1 bath,26822355,Todji,,Richmond,45.5095,-122.62219,Entire home/apt,99,1,978,12/14/2023,9.63,6,345,94,17-221635-000-00-LU
6.77594E+17,Rental unit in Portland · ★4.86 · 1 bedroom · 1 bed · 1 bath,1213257,Dayna,,Concordia,45.5616,-122.63468,Entire home/apt,99,1,29,11/27/2023,1.78,6,356,26,22-137836-000-00-HO
7.65972E+17,Rental unit in Portland · ★4.74 · 2 bedrooms · 2 beds · 2 baths,52609760,Becky,,Portland Downtown,45.50831,-122.6816,Entire home/apt,99,1,50,12/7/2023,4.21,6,287,50,Exempt
1.03558E+18,Home in Portland · ★New · 3 bedrooms · 3 beds · 1 bath,309781078,Sofia,,King,45.55021,-122.66128,Entire home/apt,99,1,2,12/17/2023,2,6,349,2,Exempt
1.03995E+18,Camper/RV in Portland · ★New · 1 bedroom · 3 beds · 2 baths,421792,Jesse,,Powellhurst-Gilbert,45.48831,-122.51914,Entire home/apt,100,1,0,,,6,267,0,
9.89324E+17,Rental unit in Portland · 1 bedroom · 1 bed · 1 shared bath,536842819,Luxrental,,Powellhurst-Gilbert,45.5016865,-122.5427199,Private room,104,1,1,10/29/2023,0.57,6,269,1,City registration pending
9.94554E+17,Rental unit in Portland · 1 bedroom · 1 bed · 1 bath,536842819,Luxrental,,Powellhurst-Gilbert,45.50122,-122.54175,Private room,104,1,1,11/3/2023,0.63,6,269,1,City registration pending
1.04227E+18,Rental unit in Portland · ★New · 1 bedroom · 2 beds · 1 bath,459606784,The Vaisberg,,Pearl,45.52768914,-122.6839218,Entire home/apt,104,2,0,,,6,164,0,Exempt
9.94581E+17,Rental unit in Portland · 1 bedroom · 1 bed · 1 bath,536842819,Luxrental,,Powellhurst-Gilbert,45.50105714,-122.5437445,Private room,104,1,1,10/24/2023,0.52,6,269,1,City registration pending
7.34732E+17,Rental unit in Portland · ★4.67 · 1 bedroom · 1 bed · 1 bath,52609760,Becky,,Portland Downtown,45.51001,-122.68133,Entire home/apt,105,1,72,12/11/2023,5.16,6,0,65,Exempt
8.40741E+17,Rental unit in Portland · ★4.65 · 2 bedrooms · 2 beds · 1 bath,52609760,Becky,,Portland Downtown,45.50832053,-122.6819367,Entire home/apt,105,1,22,12/3/2023,2.31,6,0,22,Exempt
52151828,Home in Portland · ★4.67 · 2 bedrooms · 2 beds · 1 bath,30942269,Nancy,,Montavilla,45.52484894,-122.5855179,Entire home/apt,105,31,6,11/6/2023,0.38,6,337,4,
